epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,756.322,0.55155,0.26488,0.77438,0.74911,0.55074,0.62561,0.44558,0.73475,0.36892,0.78931,0.00121591,0.00121591,0.00121591
43,773.651,0.55461,0.26738,0.77473,0.71136,0.55265,0.60823,0.44565,0.7284,0.35941,0.78688,0.00120491,0.00120491,0.00120491
44,790.869,0.5443,0.26214,0.77441,0.72966,0.5544,0.60751,0.44734,0.72321,0.35756,0.78646,0.00119391,0.00119391,0.00119391
45,812.403,0.54849,0.26491,0.7754,0.74304,0.56081,0.62222,0.442,0.76411,0.38173,0.7869,0.0011829,0.0011829,0.0011829
46,832.873,0.5602,0.27075,0.77423,0.73204,0.55812,0.61005,0.4415,0.73082,0.35883,0.78694,0.0011719,0.0011719,0.0011719
47,850.257,0.55696,0.26792,0.77469,0.60791,0.56928,0.5774,0.42771,0.76293,0.36817,0.78755,0.0011609,0.0011609,0.0011609
48,867.448,0.55223,0.26147,0.77456,0.76629,0.55728,0.62748,0.44724,0.75582,0.36289,0.78857,0.0011499,0.0011499,0.0011499
49,884.657,0.53763,0.26109,0.77291,0.73573,0.55302,0.6096,0.43762,0.76075,0.36512,0.789,0.00113889,0.00113889,0.00113889
50,901.847,0.53636,0.25795,0.77379,0.65361,0.57052,0.59278,0.44,0.72736,0.35961,0.78709,0.00112789,0.00112789,0.00112789
51,919.044,0.55486,0.26434,0.77416,0.60373,0.562,0.56624,0.43579,0.69782,0.3525,0.7839,0.00111689,0.00111689,0.00111689
52,936.395,0.53511,0.25608,0.77405,0.679,0.55391,0.59467,0.44631,0.69919,0.34038,0.78429,0.00110589,0.00110589,0.00110589
53,953.611,0.5297,0.25517,0.77404,0.5922,0.5466,0.55636,0.42017,0.73984,0.36685,0.78527,0.00109489,0.00109489,0.00109489
54,970.879,0.53699,0.25793,0.7743,0.62483,0.5545,0.56672,0.42768,0.72724,0.35365,0.78698,0.00108388,0.00108388,0.00108388
55,988.024,0.52743,0.25401,0.77284,0.67649,0.56388,0.60121,0.44297,0.72203,0.3583,0.78665,0.00107288,0.00107288,0.00107288
56,1005.3,0.52331,0.25264,0.77302,0.7409,0.55388,0.61008,0.44809,0.72275,0.35277,0.78673,0.00106188,0.00106188,0.00106188
57,1022.55,0.52545,0.25564,0.7728,0.71608,0.56868,0.626,0.4539,0.73144,0.34316,0.78622,0.00105088,0.00105088,0.00105088
58,1041.23,0.52508,0.25045,0.77248,0.78229,0.55775,0.62143,0.46108,0.69371,0.33028,0.78487,0.00103987,0.00103987,0.00103987
59,1059.7,0.52082,0.2513,0.7734,0.59277,0.57559,0.57074,0.43097,0.73783,0.35872,0.78798,0.00102887,0.00102887,0.00102887
60,1076.81,0.52807,0.25611,0.77335,0.72612,0.55894,0.61186,0.45832,0.69616,0.34328,0.78414,0.00101787,0.00101787,0.00101787
61,1094.14,0.52905,0.25441,0.77287,0.6798,0.55909,0.58939,0.442,0.71633,0.34724,0.78575,0.00100687,0.00100687,0.00100687
62,1111.4,0.52081,0.25158,0.77225,0.65072,0.55678,0.59113,0.44455,0.71635,0.34651,0.78512,0.000995866,0.000995866,0.000995866
63,1128.58,0.51694,0.2486,0.77179,0.55379,0.55552,0.55983,0.4191,0.76306,0.36538,0.78891,0.000984864,0.000984864,0.000984864
64,1145.69,0.51132,0.25021,0.772,0.57713,0.56201,0.56996,0.43431,0.73306,0.34961,0.78642,0.000973861,0.000973861,0.000973861
65,1162.96,0.51526,0.2501,0.77198,0.63892,0.5725,0.58818,0.44165,0.70881,0.34886,0.78525,0.000962859,0.000962859,0.000962859
66,1180.21,0.50667,0.24745,0.77233,0.66647,0.55726,0.59563,0.44814,0.72088,0.34216,0.78613,0.000951857,0.000951857,0.000951857
67,1201.23,0.5191,0.25289,0.77181,0.66136,0.54906,0.58189,0.44017,0.73711,0.34433,0.78684,0.000940855,0.000940855,0.000940855
68,1222.29,0.50944,0.24533,0.77166,0.65302,0.55605,0.59053,0.44552,0.74005,0.34033,0.78765,0.000929853,0.000929853,0.000929853
69,1239.68,0.50535,0.24373,0.77156,0.69246,0.56801,0.61181,0.45209,0.71159,0.34539,0.78617,0.00091885,0.00091885,0.00091885
70,1257.13,0.49922,0.24221,0.77193,0.67639,0.56403,0.60499,0.44878,0.73755,0.34872,0.78599,0.000907848,0.000907848,0.000907848
71,1274.26,0.50052,0.24352,0.77028,0.56886,0.55676,0.5623,0.42533,0.73199,0.35837,0.78783,0.000896846,0.000896846,0.000896846
72,1291.36,0.49389,0.24211,0.77178,0.63109,0.55639,0.58475,0.43748,0.75361,0.35105,0.78906,0.000885844,0.000885844,0.000885844
73,1308.45,0.50486,0.24437,0.77144,0.67802,0.55878,0.59471,0.43772,0.75294,0.36573,0.78717,0.000874842,0.000874842,0.000874842
74,1325.79,0.497,0.24143,0.7707,0.67447,0.55541,0.59485,0.44622,0.72459,0.34381,0.78633,0.000863839,0.000863839,0.000863839
75,1342.98,0.48979,0.23721,0.77146,0.56545,0.60453,0.62267,0.4611,0.71843,0.34261,0.78602,0.000852837,0.000852837,0.000852837
76,1361.55,0.49033,0.23846,0.77104,0.55424,0.60523,0.6194,0.45492,0.726,0.33779,0.78584,0.000841835,0.000841835,0.000841835
77,1378.77,0.48948,0.23594,0.77054,0.64885,0.56125,0.59389,0.44849,0.69913,0.34368,0.78414,0.000830833,0.000830833,0.000830833
78,1395.98,0.47963,0.23317,0.77122,0.81484,0.56411,0.64403,0.4662,0.72101,0.33988,0.78585,0.000819831,0.000819831,0.000819831
79,1414.69,0.48155,0.235,0.77087,0.66887,0.56245,0.59629,0.44899,0.70278,0.33546,0.78438,0.000808828,0.000808828,0.000808828
80,1431.83,0.48076,0.23484,0.76951,0.70956,0.55898,0.61088,0.45117,0.71401,0.35227,0.78645,0.000797826,0.000797826,0.000797826
81,1449.04,0.48339,0.23528,0.77153,0.73125,0.55568,0.61587,0.45357,0.74304,0.34501,0.78651,0.000786824,0.000786824,0.000786824
